trade_id,action,score,market_regime,profit,TrendAgent,StructureAgent,SmartMoneyAgent,VolatilityAgent,PullbackAgent,TrendAgent_used,StructureAgent_used,SmartMoneyAgent_used,VolatilityAgent_used,PullbackAgent_used,bos_signal,choch_signal,fvg_signal,chan_trend,divergence
3335,LONG,78.4,SIDEWAYS,23.93413874553051,LONG,HOLD,LONG,HOLD,LONG,True,False,True,False,True,,,BULLISH_FVG,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
3413,SHORT,70.4,SIDEWAYS,-37.026031450848116,SHORT,SHORT,HOLD,HOLD,SHORT,True,True,False,False,True,,,BEARISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
3429,LONG,80.0,SIDEWAYS,-63.48102894837868,LONG,LONG,LONG,HOLD,LONG,True,True,True,False,True,,,BULLISH_FVG,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
3478,SHORT,59.2,SIDEWAYS,-6.268383962501751,SHORT,LONG,SHORT,HOLD,LONG,True,False,True,False,False,,,BULLISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
3480,LONG,80.0,SIDEWAYS,-70.6931478851262,LONG,LONG,LONG,LONG,LONG,True,True,True,True,True,,,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
3513,SHORT,50.4,SIDEWAYS,-33.099450584443034,SHORT,LONG,SHORT,HOLD,SHORT,True,False,True,False,True,,,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
3533,LONG,78.4,SIDEWAYS,-44.96279635130461,LONG,LONG,HOLD,LONG,LONG,True,True,False,True,True,,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
3577,SHORT,100.0,SIDEWAYS,2232.2195545228733,SHORT,SHORT,SHORT,HOLD,HOLD,True,True,True,False,False,BEARISH,,BEARISH_FVG,BEAR,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
3832,SHORT,73.6,SIDEWAYS,33.96054094313024,LONG,SHORT,SHORT,HOLD,SHORT,False,True,True,False,True,,,,BEAR,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
3846,LONG,70.4,SIDEWAYS,277.58918946425206,LONG,LONG,HOLD,HOLD,LONG,True,True,False,False,True,,,,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
3929,SHORT,50.4,SIDEWAYS,62.544801053164306,SHORT,SHORT,HOLD,HOLD,SHORT,True,True,False,False,True,,,,BEAR,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
4013,LONG,50.4,SIDEWAYS,-68.97041171039506,LONG,LONG,LONG,HOLD,HOLD,True,True,True,False,False,,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
4028,SHORT,88.0,SIDEWAYS,-493.87769004954345,SHORT,SHORT,SHORT,HOLD,HOLD,True,True,True,False,False,BEARISH,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
4089,SHORT,60.0,SIDEWAYS,36.70141523524642,LONG,SHORT,HOLD,HOLD,HOLD,False,True,False,False,False,BEARISH,,BEARISH_FVG,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
4104,SHORT,50.0,SIDEWAYS,-47.04763931159898,LONG,SHORT,HOLD,HOLD,HOLD,False,True,False,False,False,BEARISH,,,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
4111,SHORT,85.0,SIDEWAYS,-66.67113910715752,LONG,SHORT,SHORT,HOLD,HOLD,False,True,True,False,False,BEARISH,,BEARISH_FVG,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
4183,SHORT,48.0,SIDEWAYS,4.382431582120414,LONG,LONG,HOLD,HOLD,SHORT,False,False,False,False,True,,,BEARISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
4235,LONG,59.0,SIDEWAYS,492.266747386189,LONG,LONG,LONG,HOLD,LONG,True,True,True,False,True,,,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
4354,SHORT,47.0,SIDEWAYS,-51.37352028210791,SHORT,HOLD,HOLD,LONG,SHORT,True,False,False,False,True,,,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
4368,SHORT,47.0,SIDEWAYS,-31.441970782597444,SHORT,SHORT,HOLD,HOLD,SHORT,True,True,False,False,True,,,,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
4372,LONG,59.0,SIDEWAYS,-147.7466588947224,LONG,LONG,LONG,HOLD,HOLD,True,True,True,False,False,,,BULLISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
4399,SHORT,78.75,SIDEWAYS,366.97578189536057,SHORT,SHORT,SHORT,HOLD,HOLD,True,True,True,False,False,BEARISH,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
4507,LONG,98.75,SIDEWAYS,-451.24710493163104,LONG,LONG,LONG,HOLD,HOLD,True,True,True,False,False,BULLISH,BULLISH_CHOCH,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
4563,SHORT,50.8,SIDEWAYS,-94.09546741823945,SHORT,LONG,HOLD,HOLD,SHORT,True,False,False,False,True,,,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
4612,SHORT,68.8,SIDEWAYS,-9.332503168219919,LONG,SHORT,SHORT,HOLD,SHORT,False,True,True,False,True,,,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
4620,SHORT,82.0,SIDEWAYS,31.103252215014415,LONG,SHORT,HOLD,HOLD,HOLD,False,True,False,False,False,BEARISH,,BEARISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
4624,SHORT,46.6,SIDEWAYS,368.30673650658656,SHORT,SHORT,HOLD,HOLD,HOLD,True,True,False,False,False,,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
4792,SHORT,47.2,SIDEWAYS,3.6168938703435503,LONG,SHORT,HOLD,HOLD,SHORT,False,True,False,False,True,,,BEARISH_FVG,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
4804,SHORT,51.2,SIDEWAYS,-38.85644107894043,LONG,SHORT,HOLD,HOLD,SHORT,False,True,False,False,True,,,BEARISH_FVG,BEAR,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
4823,SHORT,60.8,SIDEWAYS,26.582312987332816,LONG,SHORT,SHORT,HOLD,SHORT,False,True,True,False,True,,,,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
4840,SHORT,68.25,SIDEWAYS,-39.10857325377204,SHORT,SHORT,HOLD,HOLD,HOLD,True,True,False,False,False,BEARISH,,BEARISH_FVG,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
4885,LONG,73.8,SIDEWAYS,-91.90764388488029,LONG,LONG,LONG,HOLD,LONG,True,True,True,False,True,,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
4909,SHORT,100.0,SIDEWAYS,102.04433461688883,SHORT,SHORT,SHORT,LONG,HOLD,True,True,True,False,False,BEARISH,,BEARISH_FVG,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
4975,SHORT,47.2,SIDEWAYS,-2.492241987715101,LONG,SHORT,HOLD,HOLD,SHORT,False,True,False,False,True,,,,BEAR,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
4977,SHORT,47.2,SIDEWAYS,-27.819822044028715,LONG,SHORT,HOLD,HOLD,SHORT,False,True,False,False,True,,,,BEAR,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
4980,LONG,52.2,SIDEWAYS,-112.56790882589885,LONG,LONG,LONG,HOLD,HOLD,True,True,True,False,False,,,BULLISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
5009,LONG,51.8,SIDEWAYS,-32.79770286178143,SHORT,HOLD,LONG,LONG,LONG,False,False,True,True,True,,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
5015,SHORT,73.25,SIDEWAYS,-456.06997513891275,SHORT,SHORT,HOLD,LONG,HOLD,True,True,False,False,False,BEARISH,,,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
5041,LONG,47.2,SIDEWAYS,-8.68913235845223,SHORT,HOLD,LONG,HOLD,LONG,False,False,True,False,True,,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
5048,SHORT,51.2,SIDEWAYS,30.40992828058149,SHORT,HOLD,SHORT,HOLD,SHORT,True,False,True,False,True,,,,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
5101,SHORT,69.6,SIDEWAYS,-61.22333214739866,LONG,SHORT,SHORT,HOLD,SHORT,False,True,True,False,True,,,,BEAR,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
5104,LONG,88.0,SIDEWAYS,-16.958001924021477,LONG,LONG,HOLD,HOLD,HOLD,True,True,False,False,False,BULLISH,BULLISH_CHOCH,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
5161,SHORT,93.0,SIDEWAYS,11.868890699707105,SHORT,SHORT,HOLD,HOLD,HOLD,True,True,False,False,False,BEARISH,,BEARISH_FVG,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
5240,LONG,100.0,SIDEWAYS,-424.7484863829086,LONG,LONG,HOLD,HOLD,HOLD,True,True,False,False,False,BULLISH,BULLISH_CHOCH,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
5299,SHORT,91.0,SIDEWAYS,1929.6403642839437,SHORT,SHORT,SHORT,LONG,HOLD,True,True,True,False,False,BEARISH,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
5426,SHORT,47.2,SIDEWAYS,-12.236104510125,LONG,HOLD,SHORT,HOLD,SHORT,False,False,True,False,True,,,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
5431,LONG,100.0,SIDEWAYS,-392.96992725811924,LONG,LONG,LONG,HOLD,HOLD,True,True,True,False,False,BULLISH,BULLISH_CHOCH,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
5462,LONG,76.0,SIDEWAYS,-25.348005968700445,SHORT,LONG,LONG,HOLD,LONG,False,True,True,False,True,,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
5464,SHORT,71.0,SIDEWAYS,-76.01976950312107,SHORT,SHORT,SHORT,HOLD,SHORT,True,True,True,False,True,,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
5497,LONG,87.75,SIDEWAYS,979.5335669628217,LONG,LONG,HOLD,HOLD,HOLD,True,True,False,False,False,BULLISH,BULLISH_CHOCH,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
5659,SHORT,57.4,SIDEWAYS,-110.73521324476457,SHORT,SHORT,SHORT,HOLD,HOLD,True,True,True,False,False,,,,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
5692,LONG,100.0,SIDEWAYS,-116.03253318724173,LONG,LONG,HOLD,LONG,HOLD,True,True,False,True,False,BULLISH,BULLISH_CHOCH,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
5754,SHORT,81.75,SIDEWAYS,-414.1566971578747,SHORT,SHORT,SHORT,HOLD,HOLD,True,True,True,False,False,BEARISH,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
5821,LONG,100.0,SIDEWAYS,-433.8274765077881,LONG,LONG,LONG,HOLD,HOLD,True,True,True,False,False,BULLISH,BULLISH_CHOCH,BULLISH_FVG,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
5852,SHORT,71.0,SIDEWAYS,-318.5574739069419,LONG,SHORT,HOLD,HOLD,HOLD,False,True,False,False,False,BEARISH,,BEARISH_FVG,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
5884,LONG,100.0,SIDEWAYS,950.2748897212451,LONG,LONG,HOLD,LONG,HOLD,True,True,False,True,False,BULLISH,BULLISH_CHOCH,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
6013,SHORT,49.0,SIDEWAYS,-34.99739837577203,SHORT,SHORT,HOLD,HOLD,SHORT,True,True,False,False,True,,,,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
6030,LONG,97.25,SIDEWAYS,-200.30049654539994,LONG,LONG,HOLD,HOLD,HOLD,True,True,False,False,False,BULLISH,BULLISH_CHOCH,BULLISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
6042,LONG,74.6,SIDEWAYS,-204.4902309887056,LONG,LONG,LONG,HOLD,HOLD,True,True,True,False,False,,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
6102,SHORT,48.0,SIDEWAYS,-14.568779860580587,SHORT,LONG,HOLD,HOLD,SHORT,True,False,False,False,True,,,BEARISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
6173,SHORT,100.0,SIDEWAYS,-150.86408172891572,LONG,SHORT,SHORT,LONG,SHORT,False,True,True,False,True,BEARISH,,BEARISH_FVG,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
6189,LONG,94.0,SIDEWAYS,-118.7570063651695,LONG,LONG,LONG,HOLD,HOLD,True,True,True,False,False,BULLISH,BULLISH_CHOCH,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
6226,LONG,53.6,SIDEWAYS,8.923739700744182,LONG,LONG,SHORT,HOLD,LONG,True,True,False,False,True,,,BULLISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
6286,SHORT,49.6,SIDEWAYS,331.7961797980067,SHORT,SHORT,HOLD,HOLD,SHORT,True,True,False,False,True,,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
