time,action,bull_score,bear_score,gap,bos,choch,sweep,regime,confidence,pnl,balance
5103,LONG,88.0,0.0,88.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,0.88,-16.958001924021477,16339.698056441714
5160,SHORT,0.0,93.0,93.0,BEARISH,,,SIDEWAYS,0.93,11.868890699707105,16351.56694714142
5239,LONG,100.0,25.0,75.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,-424.7484863829086,15926.818460758512
5298,SHORT,11.5,91.0,79.5,BEARISH,,,SIDEWAYS,0.91,1929.6403642839437,17856.458825042457
5425,SHORT,0.0,47.20000000000002,47.20000000000002,,,,SIDEWAYS,0.413,-12.236104510125,17844.222720532332
5430,LONG,100.0,0.0,100.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,-392.96992725811924,17451.252793274212
5461,LONG,76.00000000000003,8.0,68.00000000000003,,,,SIDEWAYS,0.6649999999999999,-25.348005968700445,17425.904787305513
5463,SHORT,0.0,71.0,71.0,,,,SIDEWAYS,0.623,-76.01976950312107,17349.885017802393
5496,LONG,87.75,0.0,87.75,BULLISH,BULLISH_CHOCH,,SIDEWAYS,0.88,979.5335669628217,18329.418584765215
5658,SHORT,4.0,57.400000000000006,53.400000000000006,,,,SIDEWAYS,0.504,-110.73521324476457,18218.683371520452
5691,LONG,100.0,0.0,100.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,-116.03253318724173,18102.65083833321
5753,SHORT,0.0,81.75,81.75,BEARISH,,,SIDEWAYS,0.82,-414.1566971578747,17688.494141175335
5820,LONG,100.0,0.0,100.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,-433.8274765077881,17254.666664667548
5851,SHORT,16.249999999999993,71.00000000000001,54.75000000000002,BEARISH,,,SIDEWAYS,0.71,-318.5574739069419,16936.109190760606
5883,LONG,100.0,0.0,100.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,950.2748897212451,17886.38408048185
6012,SHORT,12.0,49.0,37.0,,,,SIDEWAYS,0.427,-34.99739837577203,17851.386682106076
6029,LONG,97.25,5.0,92.25,BULLISH,BULLISH_CHOCH,,SIDEWAYS,0.97,-200.30049654539994,17651.086185560678
6041,LONG,74.60000000000001,8.0,66.60000000000001,,,SWEEP_HIGH,SIDEWAYS,0.651,-204.4902309887056,17446.595954571974
6101,SHORT,9.600000000000012,48.0,38.39999999999999,,,,SIDEWAYS,0.42,-14.568779860580587,17432.027174711395
6172,SHORT,43.0,100.0,57.0,BEARISH,,,SIDEWAYS,1.0,-150.86408172891572,17281.16309298248
6188,LONG,94.00000000000003,15.0,79.00000000000003,BULLISH,BULLISH_CHOCH,,SIDEWAYS,0.94,-118.7570063651695,17162.40608661731
6225,LONG,53.600000000000016,41.600000000000016,12.0,,,,SIDEWAYS,0.469,8.923739700744182,17171.329826318055
6285,SHORT,0.0,49.600000000000016,49.600000000000016,,,,SIDEWAYS,0.434,331.7961797980067,17503.12600611606
6394,LONG,49.60000000000001,8.0,41.60000000000001,,,SWEEP_HIGH,SIDEWAYS,0.434,531.0624623187317,18034.188468434793
6629,SHORT,24.0,57.600000000000016,33.600000000000016,,,SWEEP_LOW,SIDEWAYS,0.504,610.7191605376207,18644.907628972414
6831,LONG,100.0,10.0,90.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,-221.11580564714765,18423.791823325268
6853,SHORT,0.0,69.60000000000001,69.60000000000001,,,,SIDEWAYS,0.609,-46.4558512713114,18377.335972053956
6897,LONG,75.20000000000003,4.0,71.20000000000003,,,,SIDEWAYS,0.6579999999999999,-81.88462691224662,18295.451345141708
6902,SHORT,0.0,97.00000000000001,97.00000000000001,BEARISH,,,SIDEWAYS,0.97,-679.4740696438548,17615.977275497855
6940,LONG,100.0,25.0,75.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,-597.6468072582766,17018.33046823958
6989,LONG,71.80000000000003,0.0,71.80000000000003,,,,SIDEWAYS,0.63,-215.71070657667926,16802.6197616629
7048,LONG,79.00000000000001,0.0,79.00000000000001,BULLISH,BULLISH_CHOCH,,SIDEWAYS,0.79,-4.460026032576506,16798.159735630325
7050,LONG,79.00000000000001,0.0,79.00000000000001,BULLISH,BULLISH_CHOCH,,SIDEWAYS,0.79,45.497379755422514,16843.657115385748
7052,LONG,100.0,0.0,100.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,-143.57948564672566,16700.077629739022
7063,SHORT,12.0,80.0,68.0,,,,SIDEWAYS,0.7,-22.13174534968454,16677.945884389337
7114,LONG,100.0,0.0,100.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,-267.64419716280065,16410.301687226536
7120,SHORT,0.0,50.800000000000026,50.800000000000026,,,,SIDEWAYS,0.44799999999999995,-20.556511167009965,16389.745176059525
7122,LONG,80.0,0.0,80.0,,,,SIDEWAYS,0.7,344.0442911546498,16733.789467214174
7209,SHORT,6.400000000000003,70.80000000000003,64.40000000000002,,,,SIDEWAYS,0.623,-160.82262873522615,16572.966838478947
7234,LONG,50.000000000000014,31.200000000000014,18.8,,,SWEEP_HIGH,SIDEWAYS,0.44099999999999995,-32.687115517782445,16540.279722961164
7254,SHORT,5.0,56.500000000000014,51.500000000000014,BEARISH,,,SIDEWAYS,0.57,95.08259924770871,16635.36232220887
7336,LONG,100.0,0.0,100.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,-341.4922757049313,16293.87004650394
7411,SHORT,0.0,100.0,100.0,BEARISH,,,SIDEWAYS,1.0,56.15168620587063,16350.02173270981
7546,LONG,80.0,0.0,80.0,,,,SIDEWAYS,0.7,-132.34516848787803,16217.676564221932
7564,LONG,80.0,2.0,78.0,,,,SIDEWAYS,0.7,-14.275498340459396,16203.401065881473
7571,LONG,58.40000000000003,35.600000000000016,22.80000000000001,,,,SIDEWAYS,0.511,18.094007096620164,16221.495072978094
7579,SHORT,39.000000000000014,73.50000000000003,34.500000000000014,BEARISH,,,SIDEWAYS,0.74,231.1853302743226,16452.680403252416
7672,LONG,70.80000000000003,0.0,70.80000000000003,,,,SIDEWAYS,0.623,-299.295613795789,16153.384789456628
7697,SHORT,13.0,100.0,87.0,BEARISH,,,SIDEWAYS,1.0,237.81992538613008,16391.20471484276
7787,SHORT,4.400000000000003,76.80000000000003,72.40000000000002,,,SWEEP_HIGH,SIDEWAYS,0.6719999999999999,80.02366819064189,16471.2283830334
7796,LONG,100.0,0.0,100.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,-379.50545206259653,16091.722930970805
7847,SHORT,0.0,71.50000000000001,71.50000000000001,BEARISH,,,SIDEWAYS,0.72,-327.87249046356385,15763.850440507242
